"","Site","Site_Code","Date","Lat","Long","Watershed","Watershed_Level","Status","Location","Turbidity","TSS","ChlA","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4"
"35","Peterson Reservoir","PTRR",2021-06-16,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",3,0,4.11,8,0.55,6.68,164.27,41.22,1.44,0.09,1.28,0.81,5.01,0.03,0.8,0.01,0,6.89
"36","Barnes Meadow Outflow","BMD",2021-06-16,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",10,6.09,2.98,7.69,0.58,6.71,398.7,68.7,2.34,0.17,1.22,1.55,9.72,0.04,1.43,0.06,0,11.23
"37","Barnes Meadow Reservoir","BRNR",2021-06-16,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",3.6,2,1.66,7.61,0.55,7.01,405.16,71.97,2.38,0.06,1.26,1.56,9.43,0.04,1.43,0.01,0,11.8
"38","Chambers Reservoir","CBRR",2021-06-16,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",3.5,3,1.56,4.11,0.4,6.91,313.61,43.6,1.35,0.08,0.83,1.08,5.64,0.05,0.65,0.01,0,4.4
"39","Chambers Outflow","CHD",2021-06-16,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",2.9,2,0.96,3.76,0.34,6.81,346.47,46.47,1.53,0.04,0.86,1.07,5.98,0.05,0.61,0.11,0,4.18
"40","Peterson Outlet","PTRO",2021-06-23,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",3,1.2,NA,7.62,0.52,7.07,186.6,42.83,1.42,0.19,1.21,0.76,5.04,0.02,0.73,0.01,0,6.48
"41","Peterson Reservoir","PTRR",2021-06-23,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",NA,10.4,NA,7.58,0.52,7.1,176.92,41.72,1.42,0.1,1.18,0.75,4.83,0.01,0.75,0.02,0,6.51
"42","Barnes Meadow Outflow","BMD",2021-06-23,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",5,4.14,NA,7.29,0.45,7.1,409.22,75.93,2.32,0.04,1.14,1.46,9.27,0.04,1.38,0.15,0,10.86
"43","Barnes Meadow Reservoir","BRNR",2021-06-23,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",4.5,10.2,NA,7.52,0.7,7.32,430.99,85.43,2.39,0.04,1.2,1.49,9.25,0.04,1.38,0.01,0,11.15
"44","Chambers Reservoir","CBRR",2021-06-23,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",3,4.7,NA,3.92,0.51,7.16,298.52,43.69,1.32,0.03,0.84,0.99,5.54,0.05,0.58,0.01,0,4
