Date,Ta_C,SM_5,SM_20,SM_50
2019-01-29,-5.513437395833334,0.004949651135416667,0.07899595375,0.0178244178125
2019-01-30,-1.8234166686458333,NA,0.07827719958333333,0.017523008125
2019-01-31,0.3616874998958333,0.010161688833333333,0.0798352971875,0.017925129375
2019-02-01,1.181354040625,0.020930549541666666,0.08188464572916666,0.016869575208333334
2019-02-02,3.58082290625,0.0320187786875,0.08625200447916667,0.016759867916666667
2019-02-03,3.8263124583333332,0.10523819302083333,0.0906158828125,0.017145556354166668
2019-02-04,1.9856145822916667,0.09829385989583334,0.091449145625,0.017894916041666667
2019-02-05,0.9773541645833334,0.07943511760416666,0.09226299375,0.018730024270833333
2019-02-06,-9.2332186875,0.05808306458333334,0.09041820520833334,0.019387329583333335
2019-02-07,-14.879875,0.055086768541666664,0.08047593875,0.01924367
2019-02-08,-5.478322833333333,0.019399569135416666,0.07727335770833334,0.018049091145833335
2019-02-09,-2.874552052083333,0.031053211697916666,0.07967628625,0.01741325625
2019-02-10,-3.18297915625,0.0440546323125,0.08179828770833333,0.017114466979166666
2019-02-11,-5.106781166666667,0.041208059614583334,0.08113700812499999,0.0167539365625
2019-02-12,-3.9419581468750002,0.0322819221875,0.078887911875,0.016921249791666666
2019-02-13,0.6474895833333333,0.048011101979166665,0.08198208447916666,0.016622911875
2019-02-14,0.84816666875,0.053886465,0.08615966635416666,0.016448792083333334
2019-02-15,0.2075208334375,0.05433333666666667,0.088451546875,0.016821092083333333
2019-02-16,-5.509854052083333,0.04121084739583333,0.08574967375,0.0171965125
2019-02-17,-10.238885354166667,0.024631359479166667,0.0808656171875,0.017301499895833333
2019-02-18,-14.031781197916667,0.031825458270833336,0.08088925489583333,0.017004003020833332
2019-02-19,-13.94768740625,0.02644857171875,0.0792331484375,0.016868000625
2019-02-20,-11.846999895833333,0.029131461708333334,0.07784144270833333,0.016499647604166667
2019-02-21,-10.457843677083334,0.04489828438541667,0.07609503104166666,0.01617187875
2019-02-22,-7.42257290625,0.05708080552083333,0.07921102802083334,0.015868838020833335
2019-02-23,-7.48652065625,0.04829379020833333,0.080612645,0.015308134583333334
2019-02-24,-4.540947779166666,0.05245344625,0.08019454552083333,0.0152418415625
2019-02-25,0.7071249978125,0.051598524479166664,0.08206212447916666,0.0161827571875
2019-02-26,4.279635383333333,0.03963469354166667,0.086664991875,0.015350196979166666
2019-02-27,3.363843678125,0.05458203666666667,0.09018829635416667,0.015936822604166668
2019-02-28,1.9886354145833334,0.061717680625,0.09293086208333333,0.0165690028125
2019-03-01,-0.518802084375,0.06231742197916667,0.09447285177083334,0.017056523125
2019-03-02,-8.465979125,0.06267587885416667,0.09503333375,0.017554975208333334
2019-03-03,-16.039604166666667,0.04897588229166667,0.09562873,0.018295185208333332
2019-03-04,-11.367520770833334,0.035184725625,0.09472943541666667,0.0190390221875
2019-03-05,-2.7248228321875,0.032283355625,0.09350795635416667,0.019444120729166667
2019-03-06,1.8624687489583334,0.04246934916666667,0.0935698303125,0.019847597916666668
2019-03-07,0.554677084375,0.059671265729166666,0.0961263965625,0.020677047708333333
2019-03-08,-0.52896875,0.0597006575,0.09792941385416666,0.020920667916666667
2019-03-09,-3.2913958322916668,0.04936275625,0.09833404770833333,0.021740013333333332
2019-03-10,-3.1762291145833332,0.0335272565625,0.09600296802083333,0.02259851125
2019-03-11,-2.116718666666667,0.029278146875,0.09357929604166666,0.023017724479166668
2019-03-12,2.5690520208333334,0.03790251697916667,0.09269265583333333,0.023274050833333334
2019-03-13,-4.0132707913541665,0.056905226145833335,0.09671271020833333,0.023747306458333332
2019-03-14,-7.097166416666667,0.05865372770833333,0.09889300166666666,0.024223994166666665
2019-03-15,-4.635614584375,0.054118886458333335,0.09941674927083333,0.025454785
2019-03-16,-2.4741248739583335,0.045148061354166664,0.098929031875,0.026796477604166667
2019-03-17,0.96971875,0.05542749416666667,0.0994215921875,0.029040502916666665
2019-03-18,-0.8147083010416666,0.05910612958333333,0.10054123052083333,0.03093566697916667
2019-03-19,-2.8376561979166666,0.057763500833333335,0.10151375104166667,0.0343255125
