Date,Stage_cm
2016-04-16,19.098958333333332
2016-04-17,18.426388888888887
2016-04-18,18.4
2016-04-19,18.759027777777778
2016-04-20,19.717708333333334
2016-04-21,21.790277777777778
2016-04-22,25.574305555555554
2016-04-23,26.617013888888888
2016-04-24,26.632291666666667
2016-04-25,26.37638888888889
2016-04-26,26.521527777777777
2016-04-27,25.31458333333333
2016-04-28,25.09583333333333
2016-04-29,24.145833333333332
2016-04-30,24.195833333333333
2016-05-01,24
2016-05-02,23.98784722222222
2016-05-03,24.4
2016-05-04,25.2
2016-05-05,25.2
2016-05-06,25.2
2016-05-07,26.028819444444444
2016-05-08,27.01423611111111
2016-05-09,27.4
2016-05-10,27.4
2016-05-11,26.834722222222222
2016-05-12,25.948611111111113
2016-05-13,25.2
2016-05-14,24.8125
2016-05-15,24
2016-05-16,24.025
2016-05-17,24
2016-05-18,24
2016-05-19,24.87375
2016-05-20,25.39777777777778
2016-05-21,25.10215277777778
2016-05-22,24.501944444444444
2016-05-23,23.9675
2016-05-24,24.410138888888888
2016-05-25,24.43451388888889
2016-05-26,23.571944444444444
2016-05-27,23.627222222222223
2016-05-28,23.33263888888889
2016-05-29,21.695208333333333
2016-05-30,21.450277777777778
2016-05-31,20.986805555555556
2016-06-01,20.490069444444444
2016-06-02,19.835277777777776
2016-06-03,18.889186507936508
2016-06-04,18.002847222222222
2016-06-05,17.61347222222222
2016-06-06,17.227013888888887
2016-06-07,16.999513888888888
2016-06-08,16.754236111111112
2016-06-09,16.31513888888889
2016-06-10,15.825
2016-06-11,15.601666666666667
2016-06-12,15.923958333333333
2016-06-13,15.573888888888888
2016-06-14,15.2625
2016-06-15,14.888333333333334
2016-06-16,14.51548611111111
2016-06-17,14.280277777777778
2016-06-18,14.090416666666666
2016-06-19,13.781875
2016-06-20,13.726944444444444
2016-06-21,13.420972222222222
2016-06-22,13.065833333333334
2016-06-23,13.370972222222223
2016-06-24,13.69138888888889
2016-06-25,13.300555555555555
2016-06-26,12.962916666666667
2016-06-28,12.904027777777777
2016-06-29,12.889722222222222
2016-06-30,12.697569444444445
2016-07-01,13.082152777777777
2016-07-02,12.902847222222222
2016-07-03,12.365902777777778
2016-07-04,11.969513888888889
2016-07-05,11.87486111111111
2016-07-06,11.8425
2016-07-07,11.464583333333334
2016-07-08,11.293680555555556
2016-07-09,11.051736111111111
2016-07-10,10.712013888888889
2016-07-11,10.399166666666666
2016-07-12,10.381933962264151
2016-07-13,10.366805555555555
2016-07-14,10.227083333333333
2016-07-15,10.243680555555555
2016-07-16,10.264652777777778
2016-07-17,10.055625
2016-07-18,10.26701388888889
2016-07-19,10.646527777777777
2016-07-20,10.251517094017094
2016-07-21,9.56625
2016-07-22,9.299305555555556
2016-07-23,9.133472222222222
2016-07-24,8.95701388888889
2016-07-25,8.892708333333333
2016-07-26,8.831041666666668
2016-07-27,8.578819444444445
2016-07-28,8.681041666666667
2016-07-29,8.661527777777778
2016-07-30,8.435694444444444
2016-07-31,10.082291666666666
2016-08-01,9.746527777777779
2016-08-02,9.046841258631513
2016-08-03,9.103125
2016-08-04,9.031180555555556
2016-08-05,9.279305555555556
2016-08-06,10.26951388888889
2016-08-07,10.15375
2016-08-08,9.141041666666666
2016-08-09,8.717328354297694
2016-08-10,8.80486111111111
2016-08-11,8.655138888888889
2016-08-12,8.324791666666666
2016-08-13,8.088958333333334
2016-08-14,7.874722222222222
2016-08-15,7.821180555555555
2016-08-16,7.750972222222222
2016-08-17,7.47625
2016-08-18,7.544390432098766
2016-08-19,8.270625
2016-08-20,8.467152777777779
2016-08-21,7.862152777777777
2016-08-22,7.699861111111111
2016-08-23,7.534791666666667
2016-08-24,7.741736111111111
2016-08-25,8.250347222222222
2016-08-26,8.07826388888889
2016-08-27,7.805833333333333
2016-08-28,7.566458333333333
2016-08-29,7.440972222222222
2016-08-30,7.416597222222222
2016-08-31,7.366319444444445
2016-09-01,7.384930555555556
2016-09-02,7.439027777777778
2016-09-03,7.403402777777778
2016-09-04,7.494861111111112
2016-09-05,7.398680555555556
2016-09-06,7.273194444444445
2016-09-07,7.353125
2016-09-08,7.254371196754564
2017-05-12,13.540686274509804
2017-05-13,13.32013888888889
2017-05-14,12.909722222222221
2017-05-15,12.688194444444445
2017-05-16,12.57638888888889
2017-05-17,12.975
2017-05-18,20.742361111111112
2017-05-19,22.25486111111111
2017-05-20,27.38125
2017-05-21,40.55416666666667
2017-05-22,47.25486111111111
2017-05-23,45.22569444444444
2017-05-24,41.702083333333334
2017-05-25,42.83125
2017-05-26,39.584722222222226
2017-05-27,37.977777777777774
2017-05-28,37.0375
2017-05-29,35.20763888888889
2017-05-30,33.37569444444444
2017-05-31,31.990972222222222
2017-06-01,30.999305555555555
2017-06-02,30.256944444444443
2017-06-03,29.43125
2017-06-04,28.870833333333334
2017-06-05,28.410416666666666
2017-06-06,27.797916666666666
2017-06-07,27.160416666666666
2017-06-08,26.474305555555556
2017-06-09,25.698611111111113
2017-06-10,25.153472222222224
2017-06-11,24.766666666666666
2017-06-12,24.522916666666667
2017-06-13,23.84722222222222
2017-06-14,23.00486111111111
2017-06-15,22.545833333333334
2017-06-16,22.108333333333334
2017-06-17,21.76736111111111
2017-06-18,21.37638888888889
2017-06-19,20.770833333333332
2017-06-20,20.372222222222224
2017-06-21,20.074305555555554
2017-06-22,19.979166666666668
2017-06-23,19.95763888888889
2017-06-24,19.71736111111111
2017-06-25,19.438194444444445
2017-06-26,19.12361111111111
2017-06-27,18.781944444444445
2017-06-28,18.596527777777776
2017-06-29,18.414583333333333
2017-06-30,18.46388888888889
2017-07-01,18.227083333333333
2017-07-02,18.02986111111111
2017-07-03,17.9375
2017-07-04,17.636805555555554
2017-07-05,17.257638888888888
2017-07-06,17.04236111111111
2017-07-07,16.948611111111113
2017-07-08,16.650000000000002
2017-07-09,16.069444444444443
2017-07-10,15.97638888888889
2017-07-11,16.265277777777776
2017-07-12,16.086805555555557
2017-07-13,15.761111111111111
2017-07-14,15.045833333333333
2017-07-15,14.569444444444445
2017-07-16,14.258333333333333
2017-07-17,14.122222222222222
2017-07-18,13.890277777777778
2017-07-19,13.598611111111111
2017-07-20,13.404861111111112
2017-07-21,13.378472222222221
2017-07-22,13.984027777777778
2017-07-23,13.581944444444444
2017-07-24,13.363194444444444
2017-07-25,13.475
2017-07-26,15.03888888888889
2017-07-27,16.49375
2017-07-28,15.159027777777778
2017-07-29,14.532638888888888
2017-07-30,16.37361111111111
2017-07-31,16.08125
2017-08-01,14.609722222222222
2017-08-02,14.079166666666667
2017-08-03,15.402777777777779
2017-08-04,14.79375
2017-08-05,14.783333333333333
2017-08-06,15.9375
2017-08-07,17.146527777777777
2017-08-08,16.31111111111111
2017-08-09,16.12152777777778
2017-08-10,19.22375
2017-08-11,21.052083333333332
2017-08-12,19.754166666666666
2017-08-13,19.445138888888888
2017-08-14,19.81597222222222
2017-08-15,20.207638888888887
2017-08-16,20.038888888888888
2017-08-17,19.240972222222222
2017-08-18,18.87847222222222
2017-08-19,18.574305555555554
2017-08-20,18.372916666666665
2017-08-21,18.299305555555556
2017-08-22,18.20625
2017-08-23,18.34236111111111
2017-08-24,18.31041666666667
2017-08-25,18.00625
2017-08-26,17.581944444444446
2017-08-27,17.038194444444443
2017-08-28,16.73888888888889
2017-08-29,16.400694444444444
2017-08-30,16.013194444444444
2017-08-31,16.125694444444445
2017-09-01,15.841666666666667
2017-09-02,15.621527777777779
2017-09-03,15.280555555555555
2017-09-04,15.174305555555556
2017-09-05,15.481944444444444
2017-09-06,15.54375
2017-09-07,15.415277777777778
2017-09-08,15.290277777777778
2017-09-09,15.363194444444444
2017-09-10,15.308333333333334
2017-09-11,15.125694444444445
2017-09-12,14.833333333333334
2017-09-13,14.427777777777777
2017-09-14,14.913888888888888
2017-09-15,15.260416666666666
2017-09-16,15.5125
2017-09-17,15.572916666666666
2017-09-18,15.305555555555555
2017-09-19,14.845138888888888
2017-09-20,14.89236111111111
2017-09-21,14.899305555555555
2017-09-22,14.918055555555556
2017-09-23,15.49236111111111
2017-09-24,17.26597222222222
2017-09-25,19.059722222222224
2017-09-26,17.918055555555554
2017-09-27,17.834027777777777
2017-09-28,18.132638888888888
2017-09-29,16.31736111111111
2017-09-30,17.790277777777778
2017-10-01,17.68125
2017-10-02,19.2
2017-10-03,19.238194444444446
2017-10-04,18.66736111111111
2017-10-05,18.42013888888889
2017-10-06,18.388194444444444
2017-10-07,18.229166666666668
2017-10-08,18.396527777777777
2017-10-09,21.704166666666666
2017-10-10,21.64236111111111
2017-10-11,22.28125
2017-10-12,22.831944444444446
2017-10-13,23.393055555555556
2017-10-27,24.47833333333333
2017-10-28,24.427083333333332
2017-10-29,24.20625
2017-10-30,24.288541666666667
2017-10-31,24.06041666666667
2017-11-01,24.078125
2017-11-02,23.875
2017-11-03,23.895833333333332
2017-11-04,23.763541666666665
2017-11-05,24.160416666666666
2017-11-06,24.148958333333333
2017-11-07,24.575
2017-11-08,24.34583333333333
2017-11-09,24.223958333333336
2017-11-10,24.19375
2017-11-11,24.136458333333334
2017-11-12,23.989583333333332
2017-11-13,23.935416666666665
2017-11-14,23.971875
2017-11-15,23.965625
2017-11-16,23.369791666666668
2017-11-17,23.532291666666666
2017-11-18,23.910416666666666
2017-11-19,23.38854166666667
2017-11-20,22.616666666666667
2017-11-21,23.37708333333333
2017-11-22,23.287499999999998
2017-11-23,21.551041666666666
2017-11-24,22.369791666666668
2017-11-25,23.09166666666667
2017-11-26,22.914583333333333
2017-11-27,21.211458333333333
2017-11-28,22.6625
2017-11-29,22.59375
2017-11-30,22.764583333333334
2017-12-01,22.597916666666666
2017-12-02,22.635416666666668
2017-12-03,22.541666666666668
2017-12-04,22.627083333333335
2017-12-05,21.832291666666666
2017-12-06,21.901041666666668
2017-12-07,21.511458333333334
2017-12-08,21.407291666666666
2017-12-09,21.3875
2017-12-10,21.134375
2017-12-11,21.255208333333332
2017-12-12,21.240625
2017-12-13,21.120833333333334
2017-12-14,21.942708333333332
2017-12-15,20.641666666666666
2017-12-16,21.896875
2017-12-17,22.058333333333334
2017-12-18,21.740625
2017-12-19,21.9
2017-12-20,21.46875
2017-12-21,22.992708333333333
2017-12-22,23.008333333333333
2017-12-23,21.790625
2017-12-24,21.611458333333335
2017-12-25,21.376041666666666
2017-12-26,20.9
2017-12-27,20.852083333333333
2017-12-28,20.390625
2017-12-29,20.734375
2017-12-30,20.538541666666667
2017-12-31,21.10625
2018-01-01,20.74375
2018-01-02,22.202083333333334
2018-01-03,24.089583333333334
2018-01-04,21.047916666666666
2018-01-05,22.007291666666667
2018-01-06,20.104166666666668
2018-01-07,19.539583333333333
2018-01-08,20.080208333333335
2018-01-09,19.75
2018-01-10,20.022916666666667
2018-01-11,20.06875
2018-01-12,20.238541666666666
2018-01-13,20.027083333333334
2018-01-14,19.679166666666667
