Date,SM_5,SM_40,SM_50,Ts_C
2016-10-30,0.3734895833333333,0.562,0.4486145833333333,3.4489583333333336
2016-10-31,0.37124999999999997,0.5617395833333334,0.4480104166666667,3.2802083333333334
2016-11-01,0.36940625,0.5609791666666667,0.448,3.19375
2016-11-02,0.36934374999999997,0.5610416666666668,0.448,2.721875
2016-11-03,0.37105208333333334,0.5613645833333334,0.448,2.0729166666666665
2016-11-04,0.37565625,0.5627604166666667,0.4486979166666667,1.5489583333333332
2016-11-05,0.3781041666666667,0.56384375,0.45,1.4
2016-11-06,0.378875,0.5630833333333333,0.45,1.4864583333333332
2016-11-07,0.37663541666666667,0.562,0.45,1.5875
2016-11-08,0.37465625,0.562,0.45,1.4979166666666666
2016-11-09,0.3730833333333333,0.562,0.45,1.546875
2016-11-10,0.37163541666666666,0.5619791666666667,0.45,1.9270833333333333
2016-11-11,0.37041666666666667,0.5613541666666667,0.44985416666666667,1.7729166666666667
2016-11-12,0.3696979166666667,0.5609895833333334,0.44945833333333335,1.5239583333333333
2016-11-13,0.369,0.5600625,0.448875,1.2666666666666666
2016-11-14,0.36883333333333335,0.56,0.44802083333333337,0.9864583333333333
2016-11-15,0.3676770833333333,0.55996875,0.448,0.9854166666666667
2016-11-16,0.36704166666666665,0.5592812500000001,0.44705208333333335,1.1041666666666667
2016-11-17,0.367,0.5590416666666668,0.446,0.9458333333333334
2016-11-18,0.366625,0.5593750000000001,0.446,0.8
2016-11-19,0.36632291666666666,0.55915625,0.446,0.8
2016-11-20,0.36690625,0.559,0.4457291666666667,0.8093750000000001
2016-11-21,0.367,0.559,0.445,0.8645833333333334
2016-11-22,0.367,0.559,0.445,0.9
2016-11-23,0.367,0.559,0.445,0.9
2016-11-24,0.3669895833333333,0.559,0.445,0.9
2016-11-25,0.3669895833333333,0.559,0.44497916666666665,0.89375
2016-11-26,0.367,0.559,0.4444375,0.8093750000000001
2016-11-27,0.367,0.559,0.4434166666666667,0.7510416666666667
2016-11-28,0.36614583333333334,0.559,0.443,0.7
2016-11-29,0.366,0.559,0.443,0.7
2016-11-30,0.366,0.559,0.443,0.7
2016-12-01,0.366,0.559,0.443,0.7
2016-12-02,0.3653125,0.559,0.443,0.6114583333333333
2016-12-03,0.3646979166666667,0.559,0.443,0.6
2016-12-04,0.36414583333333334,0.559,0.443,0.6
2016-12-05,0.364,0.559,0.443,0.6
2016-12-06,0.364,0.559,0.44257291666666665,0.6
2016-12-07,0.364,0.559,0.44242708333333336,0.6
2016-12-08,0.364,0.559,0.4423020833333333,0.5885416666666666
2016-12-09,0.36395833333333333,0.559,0.44204166666666667,0.5020833333333333
2016-12-10,0.3630833333333333,0.559,0.44185416666666666,0.5
2016-12-11,0.363,0.559,0.441625,0.5
2016-12-12,0.363375,0.559,0.441,0.50625
2016-12-13,0.364,0.559,0.441,0.5635416666666666
2016-12-14,0.3643645833333333,0.559,0.441,0.6
2016-12-15,0.36543749999999997,0.559,0.441,0.6
2016-12-16,0.3662708333333333,0.559,0.441,0.6
2016-12-17,0.36724999999999997,0.559,0.441,0.6
2016-12-18,0.3683020833333333,0.559,0.441,0.6
2016-12-19,0.36907291666666664,0.559,0.441,0.6
2016-12-20,0.36996875,0.559,0.441,0.603125
2016-12-21,0.37002083333333335,0.559,0.441,0.6520833333333333
2016-12-22,0.3708854166666667,0.559,0.441,0.6989583333333332
2016-12-23,0.3710104166666667,0.559,0.44094791666666666,0.7
2016-12-24,0.3715833333333333,0.559,0.4408854166666667,0.7
2016-12-25,0.3721770833333333,0.559,0.4405104166666667,0.7
2016-12-26,0.37323958333333335,0.559,0.44090625,0.7
2016-12-27,0.37407291666666664,0.559,0.4403958333333333,0.7
2016-12-28,0.37497916666666664,0.559,0.44015625,0.7
2016-12-29,0.3758125,0.559,0.4402083333333333,0.7
2016-12-30,0.37653125,0.559,0.44003125,0.7
2016-12-31,0.377,0.559,0.44,0.7
2017-01-01,0.37705208333333334,0.559,0.44,0.7
2017-01-02,0.37772916666666667,0.559,0.44004166666666666,0.7
2017-01-03,0.378,0.559,0.4400104166666667,0.7
