Reading,Receive,Value,Unit,Data Quality
2021-10-12 08:17:53,2021-10-12 08:18:05,2.90,ft,A
2021-10-12 08:02:55,2021-10-12 08:03:20,2.90,ft,A
2021-10-12 07:47:53,2021-10-12 07:48:05,2.90,ft,A
2021-10-12 07:32:53,2021-10-12 07:33:05,2.90,ft,A
2021-10-12 07:17:53,2021-10-12 07:18:20,2.90,ft,A
2021-10-12 07:02:52,2021-10-12 07:03:20,2.90,ft,A
2021-10-12 06:47:55,2021-10-12 06:48:05,2.90,ft,A
2021-10-12 06:32:54,2021-10-12 06:33:05,2.93,ft,A
2021-10-12 06:17:52,2021-10-12 06:18:20,2.93,ft,A
2021-10-12 06:02:54,2021-10-12 06:03:05,2.93,ft,A
2021-10-12 05:47:52,2021-10-12 05:48:05,2.93,ft,A
2021-10-12 05:32:52,2021-10-12 05:33:20,2.93,ft,A
2021-10-12 05:17:52,2021-10-12 05:18:05,2.90,ft,A
2021-10-12 05:02:52,2021-10-12 05:03:05,2.93,ft,A
2021-10-12 04:47:54,2021-10-12 04:48:05,2.93,ft,A
2021-10-12 04:32:52,2021-10-12 04:33:05,2.90,ft,A
2021-10-12 04:17:52,2021-10-12 04:18:05,2.93,ft,A
2021-10-12 04:02:55,2021-10-12 04:03:05,2.93,ft,A
2021-10-12 03:47:52,2021-10-12 03:48:05,2.90,ft,A
2021-10-12 03:32:52,2021-10-12 03:33:05,2.90,ft,A
2021-10-12 03:17:53,2021-10-12 03:18:20,2.93,ft,A
2021-10-12 03:17:52,2021-10-12 03:18:05,2.93,ft,A
2021-10-12 03:02:52,2021-10-12 03:03:20,2.93,ft,A
2021-10-12 02:47:54,2021-10-12 02:48:05,2.90,ft,A
2021-10-12 02:32:52,2021-10-12 02:33:05,2.93,ft,A
2021-10-12 02:17:54,2021-10-12 02:18:20,2.93,ft,A
2021-10-12 02:02:52,2021-10-12 02:03:05,2.93,ft,A
2021-10-12 01:47:52,2021-10-12 01:48:05,2.93,ft,A
2021-10-12 01:32:52,2021-10-12 01:33:20,2.93,ft,A
