Date,P_in
1/19/2011,0.74
1/20/2011,0.22
1/21/2011,0.32
1/22/2011,0.76
1/23/2011,0.02
1/24/2011,0.02
1/26/2011,0
1/27/2011,0
1/28/2011,0
1/29/2011,0
1/30/2011,0
1/31/2011,0.14
2/1/2011,0.04
2/2/2011,0
2/3/2011,0.09
2/4/2011,0.06
2/5/2011,0.6
2/6/2011,0.2
2/7/2011,0.49
2/9/2011,0.03
2/10/2011,0.04
2/11/2011,0.01
2/15/2011,0
2/16/2011,0
2/17/2011,0.81
2/18/2011,0.07
2/19/2011,0.17
2/20/2011,0.39
2/21/2011,0.12
2/22/2011,0.05
2/23/2011,0.06
2/24/2011,0.55
2/25/2011,1.13
2/26/2011,0.46
3/1/2011,0
3/2/2011,0.05
3/3/2011,0.53
3/4/2011,0.01
3/5/2011,0.07
3/6/2011,0.51
3/7/2011,0.11
3/8/2011,0.21
3/9/2011,0.5
3/10/2011,0.11
3/11/2011,0
3/12/2011,0.13
3/13/2011,0.39
3/14/2011,0.13
3/15/2011,0.02
3/16/2011,0.01
3/17/2011,1.14
3/18/2011,0.17
3/19/2011,0
3/20/2011,0
3/21/2011,0.14
3/22/2011,0.68
3/23/2011,0.14
3/24/2011,0.13
3/25/2011,0.33
3/26/2011,0.09
3/27/2011,0.5
3/28/2011,0.68
3/29/2011,0.09
3/30/2011,0.99
3/31/2011,1.14
4/1/2011,0.01
4/2/2011,0
4/3/2011,0.63
4/4/2011,0.44
4/5/2011,0.01
4/6/2011,0.43
4/7/2011,0
4/8/2011,0
4/9/2011,0.61
4/10/2011,0.65
4/11/2011,0.07
4/12/2011,0.04
4/13/2011,0.68
4/14/2011,3.31
4/15/2011,2.05
4/16/2011,2.72
4/17/2011,0.46
4/18/2011,0.03
4/19/2011,1.03
4/20/2011,0.55
4/21/2011,1.62
4/22/2011,2.15
4/23/2011,0
4/24/2011,0
4/25/2011,0
4/26/2011,0.73
4/27/2011,2.13
4/28/2011,0.31
4/29/2011,0.74
4/30/2011,0.25
5/1/2011,0
5/3/2011,0
5/4/2011,1.24
5/5/2011,0.03
5/6/2011,0
5/7/2011,0
5/8/2011,0
5/9/2011,0.07
5/10/2011,0.03
5/11/2011,1.69
5/12/2011,0.18
5/13/2011,0.11
5/14/2011,0.09
5/15/2011,0
5/16/2011,0
5/17/2011,0.01
5/18/2011,0.68
5/19/2011,1.02
5/20/2011,1.51
5/21/2011,1.51
5/22/2011,0.68
5/23/2011,0.24
5/24/2011,0.39
5/25/2011,0.08
5/26/2011,0.18
5/27/2011,0.9
5/28/2011,0.19
5/29/2011,0
5/30/2011,0.11
5/31/2011,0
6/1/2011,0
6/2/2011,0
6/3/2011,0
6/4/2011,0
6/5/2011,0
6/6/2011,0
6/7/2011,0
6/8/2011,0
6/9/2011,0.01
6/10/2011,0
6/11/2011,0
6/12/2011,0
6/13/2011,0
6/14/2011,0.04
6/15/2011,0
6/16/2011,0
6/17/2011,0.7
6/18/2011,0.11
6/19/2011,0.12
6/20/2011,0.76
6/21/2011,0.04
6/22/2011,0
6/23/2011,0.01
6/24/2011,0
6/25/2011,0
6/26/2011,0
6/27/2011,0
6/28/2011,0
6/29/2011,0.09
6/30/2011,0.77
7/1/2011,0.05
7/2/2011,0
7/3/2011,0
7/4/2011,0
7/5/2011,0.08
7/6/2011,0.15
7/7/2011,0.04
7/8/2011,0.22
7/9/2011,0.12
7/10/2011,0.2
7/11/2011,0
7/12/2011,0.6
7/13/2011,0
7/14/2011,0
7/15/2011,0
7/16/2011,0.12
7/17/2011,0.24
7/18/2011,0.54
7/19/2011,0.02
7/20/2011,0
7/21/2011,0
7/22/2011,0
7/23/2011,0
7/24/2011,0
7/25/2011,0
7/26/2011,0
7/27/2011,0
7/28/2011,0.09
7/29/2011,0
7/30/2011,0
7/31/2011,0.23
8/1/2011,0.09
8/2/2011,0.06
8/3/2011,0
8/4/2011,0.03
8/5/2011,0
8/6/2011,0
8/7/2011,0
8/8/2011,0
8/9/2011,0
8/10/2011,0
8/11/2011,0
8/12/2011,0
8/13/2011,0
8/14/2011,0.04
8/15/2011,0
8/16/2011,0.04
8/17/2011,0
8/18/2011,0
8/19/2011,0.05
8/20/2011,0
8/21/2011,0.06
8/22/2011,0.03
8/23/2011,0
8/24/2011,0
8/25/2011,0.16
8/26/2011,0.08
8/27/2011,0.1
8/28/2011,0.12
8/29/2011,0.11
8/30/2011,0.03
8/31/2011,0.22
9/1/2011,0
9/2/2011,0.04
9/3/2011,0.01
9/4/2011,0
