Reading,Receive,Value,Unit,Data Quality
2021-10-10 08:48:53,2021-10-10 08:49:05,0.59,ft,A
2021-10-10 08:18:53,2021-10-10 08:19:05,0.56,ft,A
2021-10-10 07:48:53,2021-10-10 07:49:05,0.58,ft,A
2021-10-10 07:18:53,2021-10-10 07:19:05,0.59,ft,A
2021-10-10 06:48:53,2021-10-10 06:49:05,0.58,ft,A
2021-10-10 06:18:53,2021-10-10 06:19:05,0.56,ft,A
2021-10-10 05:48:53,2021-10-10 05:49:05,0.58,ft,A
2021-10-10 05:18:53,2021-10-10 05:19:05,0.57,ft,A
2021-10-10 04:48:53,2021-10-10 04:49:05,0.58,ft,A
2021-10-10 04:18:53,2021-10-10 04:19:05,0.56,ft,A
2021-10-10 03:48:53,2021-10-10 03:49:05,0.55,ft,A
2021-10-10 03:18:53,2021-10-10 03:19:05,0.57,ft,A
2021-10-10 02:48:53,2021-10-10 02:49:05,0.59,ft,A
2021-10-10 02:18:53,2021-10-10 02:19:05,0.56,ft,A
2021-10-10 01:48:53,2021-10-10 01:49:05,0.57,ft,A
2021-10-10 01:18:53,2021-10-10 01:19:05,0.58,ft,A
2021-10-10 00:48:53,2021-10-10 00:49:05,0.58,ft,A
2021-10-10 00:18:53,2021-10-10 00:19:05,0.57,ft,A
2021-10-09 23:48:53,2021-10-09 23:49:05,0.56,ft,A
2021-10-09 23:18:53,2021-10-09 23:19:05,0.57,ft,A
2021-10-09 22:48:53,2021-10-09 22:49:05,0.57,ft,A
2021-10-09 22:18:53,2021-10-09 22:19:05,0.55,ft,A
2021-10-09 21:48:53,2021-10-09 21:49:05,0.54,ft,A
2021-10-09 21:18:53,2021-10-09 21:19:05,0.56,ft,A
2021-10-09 20:48:53,2021-10-09 20:49:05,0.57,ft,A
2021-10-09 20:18:53,2021-10-09 20:19:05,0.56,ft,A
2021-10-09 19:48:53,2021-10-09 19:49:05,0.56,ft,A
2021-10-09 19:18:53,2021-10-09 19:19:05,0.53,ft,A
2021-10-09 18:48:53,2021-10-09 18:49:05,0.47,ft,A
2021-10-09 18:18:53,2021-10-09 18:19:05,0.50,ft,A
2021-10-09 17:48:53,2021-10-09 17:49:05,0.54,ft,A
2021-10-09 16:58:53,2021-10-09 16:59:05,0.53,ft,A
2021-10-09 16:28:53,2021-10-09 16:29:05,0.57,ft,A
2021-10-09 15:58:53,2021-10-09 15:59:05,0.54,ft,A
2021-10-09 15:28:53,2021-10-09 15:29:05,0.53,ft,A
2021-10-09 14:58:53,2021-10-09 14:59:06,0.53,ft,A
2021-10-09 14:28:53,2021-10-09 14:29:05,0.51,ft,A
2021-10-09 13:58:53,2021-10-09 13:59:05,0.55,ft,A
