Reading,Receive,Value,Unit,Data Quality
2021-10-07 04:00:15,2021-10-07 04:00:51,55.99,cfs,A
2021-10-07 03:01:53,2021-10-07 03:02:20,55.99,cfs,A
2021-10-07 01:59:30,2021-10-07 01:59:50,55.99,cfs,A
2021-10-07 01:01:08,2021-10-07 01:01:20,56.62,cfs,A
2021-10-06 22:59:56,2021-10-06 23:00:20,55.99,cfs,A
2021-10-06 22:01:01,2021-10-06 22:01:20,55.99,cfs,A
2021-10-06 21:02:10,2021-10-06 21:02:50,55.99,cfs,A
2021-10-06 20:01:01,2021-10-06 20:01:20,55.99,cfs,A
2021-10-06 18:58:07,2021-10-06 18:58:20,56.30,cfs,A
2021-10-06 18:02:05,2021-10-06 18:02:20,56.30,cfs,A
2021-10-06 16:58:35,2021-10-06 16:58:50,55.99,cfs,A
2021-10-06 15:59:54,2021-10-06 16:00:20,55.99,cfs,A
2021-10-06 15:01:39,2021-10-06 15:01:50,55.04,cfs,A
2021-10-06 14:00:42,2021-10-06 14:01:20,55.67,cfs,A
2021-10-06 13:01:41,2021-10-06 13:02:20,56.30,cfs,A
2021-10-06 12:00:41,2021-10-06 12:01:20,55.67,cfs,A
2021-10-06 10:59:48,2021-10-06 11:00:05,55.67,cfs,A
2021-10-06 10:01:52,2021-10-06 10:02:05,55.99,cfs,A
2021-10-06 09:02:41,2021-10-06 09:02:50,55.67,cfs,A
2021-10-06 07:58:29,2021-10-06 07:58:50,55.99,cfs,A
2021-10-06 06:59:36,2021-10-06 06:59:50,55.67,cfs,A
2021-10-06 06:00:06,2021-10-06 06:00:21,55.36,cfs,A
2021-10-06 04:58:31,2021-10-06 04:58:50,55.99,cfs,A
2021-10-06 04:00:41,2021-10-06 04:00:50,55.99,cfs,A
2021-10-06 02:57:57,2021-10-06 02:58:20,55.99,cfs,A
2021-10-06 01:58:58,2021-10-06 01:59:20,55.67,cfs,A
2021-10-06 00:59:15,2021-10-06 00:59:35,55.67,cfs,A
2021-10-06 00:00:44,2021-10-06 00:01:06,55.99,cfs,A
2021-10-05 23:00:41,2021-10-05 23:00:50,55.67,cfs,A
2021-10-05 21:58:36,2021-10-05 21:58:50,55.67,cfs,A
2021-10-05 21:02:31,2021-10-05 21:02:50,55.99,cfs,A
2021-10-05 19:58:10,2021-10-05 19:58:20,55.67,cfs,A
2021-10-05 19:00:53,2021-10-05 19:01:07,56.30,cfs,A
2021-10-05 17:57:57,2021-10-05 17:58:20,56.30,cfs,A
2021-10-05 17:00:40,2021-10-05 17:00:50,56.30,cfs,A
2021-10-05 15:58:00,2021-10-05 15:58:20,56.30,cfs,A
2021-10-05 14:58:02,2021-10-05 14:58:20,55.99,cfs,A
2021-10-05 14:01:25,2021-10-05 14:01:50,57.25,cfs,A
2021-10-05 14:01:24,2021-10-05 14:01:35,57.25,cfs,A
2021-10-05 12:58:19,2021-10-05 12:58:35,56.62,cfs,A
2021-10-05 12:01:54,2021-10-05 12:02:05,55.67,cfs,A
2021-10-05 11:00:45,2021-10-05 11:01:06,56.62,cfs,A
2021-10-05 10:02:10,2021-10-05 10:02:50,55.99,cfs,A
2021-10-05 09:01:04,2021-10-05 09:01:20,56.94,cfs,A
2021-10-05 08:02:16,2021-10-05 08:02:35,55.99,cfs,A
2021-10-05 07:01:09,2021-10-05 07:01:20,56.62,cfs,A
