date_time,tip
5/25/2017 21:05,64
5/25/2017 21:29,64.1
5/26/2017 10:06,64.2
5/26/2017 10:09,64.3
5/26/2017 10:14,64.4
5/26/2017 10:16,64.5
5/26/2017 10:21,64.6
5/26/2017 10:23,64.7
5/26/2017 10:29,64.8
5/26/2017 10:31,64.9
5/26/2017 10:37,65
5/26/2017 10:39,65.1
5/26/2017 10:45,65.2
5/26/2017 10:48,65.3
5/26/2017 10:58,65.4
5/26/2017 11:03,65.5
5/26/2017 11:18,65.6
5/26/2017 11:25,65.7
5/28/2017 13:50,65.8
5/28/2017 14:02,65.9
5/28/2017 14:08,66
5/28/2017 14:10,66.1
5/28/2017 14:16,66.2
5/28/2017 14:17,66.3
5/28/2017 14:23,66.4
5/28/2017 14:25,66.5
5/28/2017 14:33,66.6
5/28/2017 14:36,66.7
6/1/2017 14:43,66.8
6/2/2017 11:28,66.9
6/2/2017 15:02,67
6/2/2017 15:43,67.1
6/7/2017 10:58,67.2
6/7/2017 10:59,67.3
6/7/2017 11:06,67.4
6/7/2017 11:07,67.5
7/8/2017 15:34,67.6
7/8/2017 15:35,67.7
7/8/2017 15:36,67.8
7/8/2017 15:36,67.9
7/8/2017 15:36,68
7/8/2017 15:37,68.1
7/8/2017 15:37,68.2
7/8/2017 15:37,68.3
7/8/2017 15:37,68.4
7/8/2017 15:37,68.5
7/8/2017 15:38,68.6
7/8/2017 15:38,68.7
7/8/2017 15:38,68.8
7/8/2017 15:39,68.9
7/8/2017 15:40,69
7/8/2017 15:40,69.1
7/8/2017 15:41,69.2
7/8/2017 15:43,69.3
7/8/2017 15:47,69.4
7/8/2017 15:52,69.5
7/8/2017 15:58,69.6
7/10/2017 22:40,69.7
7/11/2017 18:41,69.8
7/11/2017 18:46,69.9
7/11/2017 19:03,70
7/11/2017 22:56,70.1
7/11/2017 23:07,70.2
7/11/2017 23:16,70.3
7/11/2017 23:31,70.4
7/12/2017 3:47,70.5
7/12/2017 4:06,70.6
7/12/2017 4:20,70.7
7/12/2017 4:50,70.8
7/12/2017 5:59,70.9
7/12/2017 8:00,71
7/12/2017 10:38,71.1
7/16/2017 16:21,71.2
7/16/2017 16:30,71.3
7/16/2017 16:34,71.4
7/16/2017 16:35,71.5
