DateTime,P_kPa,T_C
12/24/2020 4:00,77.63,0.343
12/24/2020 4:15,77.64,0.343
12/24/2020 4:30,77.65,0.343
12/24/2020 4:45,77.63,0.343
12/24/2020 5:00,77.64,0.343
12/24/2020 5:15,77.669,0.343
12/24/2020 5:30,77.669,0.343
12/24/2020 5:45,77.679,0.343
12/24/2020 6:00,77.699,0.343
12/24/2020 6:15,77.689,0.343
12/24/2020 6:30,77.669,0.343
12/24/2020 6:45,77.699,0.343
12/24/2020 7:00,77.659,0.343
12/24/2020 7:15,77.62,0.343
12/24/2020 7:30,77.63,0.343
12/24/2020 7:45,77.679,0.343
12/24/2020 8:00,77.689,0.343
12/24/2020 8:15,77.702,0.453
12/24/2020 8:30,77.721,0.453
12/24/2020 8:45,77.771,0.453
12/24/2020 9:00,77.791,0.453
12/24/2020 9:15,77.8,0.453
12/24/2020 9:30,77.81,0.453
12/24/2020 9:45,77.84,0.453
12/24/2020 10:00,77.889,0.453
12/24/2020 10:15,77.909,0.453
12/24/2020 10:30,77.889,0.453
12/24/2020 10:45,77.87,0.453
12/24/2020 11:00,77.88,0.453
12/24/2020 11:15,77.909,0.453
12/24/2020 11:30,77.919,0.453
12/24/2020 11:45,77.919,0.453
12/24/2020 12:00,77.959,0.453
12/24/2020 12:15,77.961,0.563
12/24/2020 12:30,77.941,0.563
12/24/2020 12:45,77.974,0.674
12/24/2020 13:00,77.993,0.674
12/24/2020 13:15,78.003,0.674
12/24/2020 13:30,78.003,0.674
12/24/2020 13:45,78.021,0.563
12/24/2020 14:00,78.04,0.563
12/24/2020 14:15,78.06,0.563
12/24/2020 14:30,78.107,0.453
12/24/2020 14:45,78.156,0.453
12/24/2020 15:00,78.196,0.453
12/24/2020 15:15,78.236,0.453
12/24/2020 15:30,78.245,0.453
12/24/2020 15:45,78.265,0.453
12/24/2020 16:00,78.255,0.453
12/24/2020 16:15,78.255,0.453
12/24/2020 16:30,78.255,0.453
12/24/2020 16:45,78.236,0.453
12/24/2020 17:00,78.236,0.453
12/24/2020 17:15,78.245,0.453
12/24/2020 17:30,78.226,0.453
12/24/2020 17:45,78.223,0.343
12/24/2020 18:00,78.253,0.343
12/24/2020 18:15,78.263,0.343
12/24/2020 18:30,78.282,0.343
12/24/2020 18:45,78.292,0.343
12/24/2020 19:00,78.302,0.343
12/24/2020 19:15,78.302,0.343
12/24/2020 19:30,78.302,0.343
12/24/2020 19:45,78.282,0.343
12/24/2020 20:00,78.282,0.343
12/24/2020 20:15,78.312,0.343
12/24/2020 20:30,78.302,0.343
12/24/2020 20:45,78.292,0.343
12/24/2020 21:00,78.292,0.343
12/24/2020 21:15,78.273,0.343
12/24/2020 21:30,78.282,0.343
12/24/2020 21:45,78.263,0.343
12/24/2020 22:00,78.263,0.343
12/24/2020 22:15,78.263,0.343
12/24/2020 22:30,78.243,0.343
12/24/2020 22:45,78.233,0.343
12/24/2020 23:00,78.243,0.343
12/24/2020 23:15,78.223,0.343
12/24/2020 23:30,78.223,0.343
12/24/2020 23:45,78.213,0.343
12/25/2020 0:00,78.184,0.343
12/25/2020 0:15,78.164,0.343
12/25/2020 0:30,78.154,0.343
12/25/2020 0:45,78.124,0.343
12/25/2020 1:00,78.124,0.343
12/25/2020 1:15,78.124,0.343
12/25/2020 1:30,78.134,0.343
12/25/2020 1:45,78.144,0.343
12/25/2020 2:00,78.164,0.343
12/25/2020 2:15,78.154,0.343
12/25/2020 2:30,78.154,0.343
12/25/2020 2:45,78.164,0.343
12/25/2020 3:00,78.134,0.343
12/25/2020 3:15,78.104,0.343
12/25/2020 3:30,78.095,0.343
12/25/2020 3:45,78.114,0.343
12/25/2020 4:00,78.114,0.343
12/25/2020 4:15,78.114,0.343
12/25/2020 4:30,78.124,0.343
12/25/2020 4:45,78.124,0.343
12/25/2020 5:00,78.104,0.343
12/25/2020 5:15,78.124,0.343
12/25/2020 5:30,78.124,0.343
12/25/2020 5:45,78.134,0.343
12/25/2020 6:00,78.154,0.343
12/25/2020 6:15,78.154,0.343
12/25/2020 6:30,78.164,0.343
12/25/2020 6:45,78.154,0.343
12/25/2020 7:00,78.154,0.343
12/25/2020 7:15,78.134,0.343
12/25/2020 7:30,78.124,0.343
12/25/2020 7:45,78.104,0.343
12/25/2020 8:00,78.114,0.343
12/25/2020 8:15,78.134,0.343
12/25/2020 8:30,78.174,0.343
